os,cpu,gpu,ram,kernel,driver,cpuscheduler,  ,  ,  ,  , ,  ,  ,  ,  , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil,  ,  ,  ,  , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
58.9206,16972,8.72236,98,60,67,2375,1000,3.00524,139,5.05217,27684952140
61.252,16326,8.72236,98,60,67,2375,1000,3.00524,139,5.05217,27785010076
62.5156,15996,6.35697,99,60,67,2375,1000,2.96831,139,5.05264,27885078623
65.3211,15309,6.35697,99,60,67,2375,1000,2.96831,139,5.05264,27985151929
64.487,15507,6.35697,99,60,67,2375,1000,2.96831,139,5.05264,28085220765
61.9348,16146,6.35697,99,60,67,2375,1000,2.96831,139,5.05264,28185278771
64.5369,15495,6.35697,99,60,67,2375,1000,2.96831,139,5.05264,28285337568
87.943,11371,4.11985,99,59,67,2370,1000,2.96463,139,5.04999,28385410284
85.7486,11662,4.11985,99,59,67,2370,1000,2.96463,139,5.04999,28485483570
89.0948,11224,4.11985,99,59,67,2370,1000,2.96463,139,5.04999,28585542726
88.2846,11327,4.11985,99,59,67,2370,1000,2.96463,139,5.04999,28685600183
85.0268,11761,4.11985,99,59,67,2370,1000,2.96463,139,5.04999,28785673229
89.662,11153,2.95203,99,58,67,2367,1000,2.96658,135,5.05023,28885746555
85.2152,11735,2.95203,99,58,67,2367,1000,2.96658,135,5.05023,28985820731
71.6435,13958,2.95203,99,58,67,2367,1000,2.96658,135,5.05023,29085889598
82.0412,12189,2.95203,99,58,67,2367,1000,2.96658,135,5.05023,29185962874
67.2224,14876,2.95203,99,58,67,2367,1000,2.96658,135,5.05023,29286031770
66.72,14988,4.11985,99,57,67,2361,1000,2.96658,134,5.05023,29386100796
69.1228,14467,4.11985,99,57,67,2361,1000,2.96658,134,5.05023,29486159273
78.8271,12686,4.11985,99,57,67,2361,1000,2.96658,134,5.05023,29586216779
78.6535,12714,4.11985,99,57,67,2361,1000,2.96658,134,5.05023,29686289775
81.6127,12253,4.11985,99,57,67,2361,1000,2.96658,134,5.05023,29786349111
62.4337,16017,5.61798,99,57,67,2348,1000,2.98485,134,5.04579,29886407388
63.2951,15799,5.61798,99,57,67,2348,1000,2.98485,134,5.04579,29986465214
60.6061,16500,5.61798,99,57,67,2348,1000,2.98485,134,5.04579,30086538780
62.3247,16045,5.61798,99,57,67,2348,1000,2.98485,134,5.04579,30186597666
58.6545,17049,5.61798,99,57,67,2348,1000,2.98485,134,5.04579,30286655353
58.6717,17044,3.78973,98,56,67,2360,1000,2.98485,137,5.04625,30386712749
71.2403,14037,3.78973,98,56,67,2360,1000,2.98485,137,5.04625,30486770065
84.7242,11803,3.78973,98,56,67,2360,1000,2.98485,137,5.04625,30586829911
73.1368,13673,3.78973,98,56,67,2360,1000,2.98485,137,5.04625,30686886588
75.0188,13330,3.78973,98,56,67,2360,1000,2.98485,137,5.04625,30786944264
70.4027,14204,3.27044,99,55,67,2355,1000,2.98272,136,5.04796,30887002700
