os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16297384,6.2.2-arch1-1,4.6 Mesa 22.3.6,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
84.0195,11902,29.7561,98,74,67,2401,1000,3.1739,146,6.53815,16074137034
69.0417,14484,29.7561,98,74,67,2401,1000,3.1739,146,6.53815,16174186355
68.3387,14633,29.7561,98,74,67,2401,1000,3.1739,146,6.53815,16274235796
66.4231,15055,14.9635,99,73,67,2417,1000,2.98632,145,6.54379,16374297987
70.3185,14221,14.9635,99,73,67,2417,1000,2.98632,145,6.54379,16474348628
68.5401,14590,14.9635,99,73,67,2417,1000,2.98632,145,6.54379,16574398329
69.3481,14420,14.9635,99,73,67,2417,1000,2.98632,145,6.54379,16674447449
67.0421,14916,14.9635,99,73,67,2417,1000,2.98632,145,6.54379,16774496890
66.9613,14934,8.28183,98,71,67,2404,1000,2.97729,145,6.53779,16874546161
70.141,14257,8.28183,98,71,67,2404,1000,2.97729,145,6.53779,16974596442
70.9975,14085,8.28183,98,71,67,2404,1000,2.97729,145,6.53779,17074646293
68.4041,14619,8.28183,98,71,67,2404,1000,2.97729,145,6.53779,17174696014
71.3419,14017,8.28183,98,71,67,2404,1000,2.97729,145,6.53779,17274746325
84.5166,11832,6.51907,99,70,67,2416,1000,2.97923,145,6.54665,17374797296
70.3631,14212,6.51907,99,70,67,2416,1000,2.97923,145,6.54665,17474847197
91.0084,10988,6.51907,99,70,67,2416,1000,2.97923,145,6.54665,17574896688
69.3049,14429,6.51907,99,70,67,2416,1000,2.97923,145,6.54665,17674946189
89.9604,11116,6.51907,99,70,67,2416,1000,2.97923,145,6.54665,17774995090
80.0576,12491,5.44554,99,68,67,2415,1000,2.9674,145,6.5463,17875045341
73.7354,13562,5.44554,99,68,67,2415,1000,2.9674,145,6.5463,17975096571
65.2827,15318,5.44554,99,68,67,2415,1000,2.9674,145,6.5463,18075147572
85.4263,11706,5.44554,99,68,67,2415,1000,2.9674,145,6.5463,18175198163
71.0429,14076,5.44554,99,68,67,2415,1000,2.9674,145,6.5463,18275247264
71.7051,13946,5.19802,99,67,67,2414,1000,2.97784,144,6.54339,18375297535
77.6458,12879,5.19802,99,67,67,2414,1000,2.97784,144,6.54339,18475348246
65.4108,15288,5.19802,99,67,67,2414,1000,2.97784,144,6.54339,18575398887
66.507,15036,5.19802,99,67,67,2414,1000,2.97784,144,6.54339,18675449568
73.888,13534,5.19802,99,67,67,2414,1000,2.97784,144,6.54339,18775499539
73.346,13634,6.39324,99,66,67,2411,1000,2.96603,145,6.5369,18875549620
66.0502,15140,6.39324,99,66,67,2411,1000,2.96603,145,6.5369,18975599821
61.4817,16265,6.39324,99,66,67,2411,1000,2.96603,145,6.5369,19075649952
76.0398,13151,6.39324,99,66,67,2411,1000,2.96603,145,6.5369,19175700302
67.9025,14727,6.39324,99,66,67,2411,1000,2.96603,145,6.5369,19275749943
61.9579,16140,8.78713,99,65,67,2412,1000,3.04141,146,6.53865,19375799774
66.0677,15136,8.78713,99,65,67,2412,1000,3.04141,146,6.53865,19475849565
66.6578,15002,8.78713,99,65,67,2412,1000,3.04141,146,6.53865,19575899906
54.277,18424,8.78713,99,65,67,2412,1000,3.04141,146,6.53865,19675950237
53.6251,18648,8.78713,99,65,67,2412,1000,3.04141,146,6.53865,19775999068
54.9602,18195,8.84848,99,64,67,2418,1000,3.03946,148,6.54449,19876049859
58.9936,16951,8.84848,99,64,67,2418,1000,3.03946,148,6.54449,19976100220
67.2179,14877,8.84848,99,64,67,2418,1000,3.03946,148,6.54449,20076149821
72.9448,13709,8.84848,99,64,67,2418,1000,3.03946,148,6.54449,20176199952
68.7474,14546,8.84848,99,64,67,2418,1000,3.03946,148,6.54449,20276248793
65.5008,15267,5.41872,99,62,67,2414,1000,2.96143,147,6.53762,20376299313
75.0244,13329,5.41872,99,62,67,2414,1000,2.96143,147,6.53762,20476349834
81.0176,12343,5.41872,99,62,67,2414,1000,2.96143,147,6.53762,20576399885
66.1857,15109,5.41872,99,62,67,2414,1000,2.96143,147,6.53762,20676449606
66.3438,15073,5.41872,99,62,67,2414,1000,2.96143,147,6.53762,20776500047
67.6498,14782,5.47945,99,61,67,2411,1000,2.96339,146,6.54757,20876550788
52.2439,19141,5.47945,99,61,67,2411,1000,2.96339,146,6.54757,20976600839
91.2326,10961,5.47945,99,61,67,2411,1000,2.96339,146,6.54757,21076649740
83.5073,11975,5.47945,99,61,67,2411,1000,2.96339,146,6.54757,21176698041
83.668,11952,5.47945,99,61,67,2411,1000,2.96339,146,6.54757,21276747252
85.778,11658,5.86797,99,60,67,2411,1000,2.96339,146,6.54733,21376796993
84.4238,11845,5.86797,99,60,67,2411,1000,2.96339,146,6.54733,21476846264
81.2612,12306,5.86797,99,60,67,2411,1000,2.96339,146,6.54733,21576895744
57.8168,17296,5.86797,99,60,67,2411,1000,2.96339,146,6.54733,21676945395
53.1943,18799,5.86797,99,60,67,2411,1000,2.96339,146,6.54733,21776995076
